Child,Parent
Ragunan Zoo,Taman Mini Indonesia Indah
Ragunan Zoo,Universitas Indonesia
Rumah Sakit Gandaria,Gandaria City
Rumah Sakit Gandaria,Kampung Main Cipulir
Rumah Sakit Gandaria,Pasaraya Blok M
Rumah Sakit Gandaria,Taman Ayodya
Senayan City,Gelanggang Olahraga Bung Karno
Senayan City,KidZania Jakarta
Senayan City,Pasaraya Blok M
Senayan City,Plaza Senayan
Stasiun Cawang,Cawang Uki
Stasiun Cawang,Politeknik Statistika STIS
Stasiun Cawang,Stasiun Tebet
Stasiun Cawang,Taman Honda
Stasiun Gambir,Galeri Nasional
Stasiun Gambir,Katedral Jakarta
Stasiun Gambir,Masjid Istiqlal
Stasiun Gambir,Monas
Stasiun Gambir,RSPAD Gatot Subroto
Stasiun Pasar Senen,Galeri Nasional
Stasiun Pasar Senen,Museum Sumpah Pemuda
Stasiun Pasar Senen,RSPAD Gatot Subroto
Stasiun Tebet,Kota Kasablanka
Stasiun Tebet,Politeknik Statistika STIS
Stasiun Tebet,Stasiun Cawang
Stasiun Tebet,Taman Honda
Taman Ayodya,Gandaria City
Taman Ayodya,Kampung Main Cipulir
Taman Ayodya,Pasaraya Blok M
Taman Ayodya,Rumah Sakit Gandaria
Taman Ayodya,The Dharmawangsa Square
Taman Fatahillah,Dunia Fantasi
Taman Fatahillah,Mall Mangga Dua
Taman Fatahillah,Plaza Orion
Taman Honda,Cawang Uki
Taman Honda,Kota Kasablanka
Taman Honda,Politeknik Statistika STIS
Taman Honda,Stasiun Cawang
Taman Honda,Stasiun Tebet
Taman Ismail Marzuki,Monumen Selamat Datang
Taman Ismail Marzuki,Museum Sumpah Pemuda
Taman Ismail Marzuki,Planetarium Jakarta
Taman Ismail Marzuki,Taman Menteng
Taman Menteng,Monumen Selamat Datang
Taman Menteng,Planetarium Jakarta
Taman Menteng,Plaza Semanggi
Taman Menteng,Taman Ismail Marzuki
Taman Mini Indonesia Indah,Monumen Pancasila Sakti
Taman Mini Indonesia Indah,Ragunan Zoo
Taman Mini Indonesia Indah,Universitas Indonesia
The Dharmawangsa Square,Lippo Mall Kemang
The Dharmawangsa Square,Pasaraya Blok M
The Dharmawangsa Square,Pondok Indah Mall 1
The Dharmawangsa Square,Pondok Indah Waterpark
The Dharmawangsa Square,Taman Ayodya
Universitas Indonesia,Ragunan Zoo
Universitas Indonesia,Taman Mini Indonesia Indah
Universitas Trisakti,Istana Negara
Universitas Trisakti,Museum Nasional
Universitas Trisakti,Museum Taman Prasasti
